неделя;дата; МСК 101 ;СЗ;Урал;
1;1 янв; 10 119   ; 7 110   ; 2 869   ;
1;2 янв; 10 119   ; 7 110   ; 2 869   ;
2;3 янв; 10 119   ; 7 110   ; 2 869   ;
2;4 янв; 10 119   ; 7 110   ; 2 869   ;
2;5 янв; 10 119   ; 7 110   ; 2 869   ;
2;6 янв; 10 119   ; 7 110   ; 2 869   ;
2;7 янв; 10 119   ; 7 110   ; 2 869   ;
2;8 янв; 10 119   ; 7 110   ; 2 869   ;
2;9 янв; 10 119   ; 7 110   ; 2 869   ;
3;10 янв; 10 119   ; 7 110   ; 2 869   ;
3;11 янв; 10 119   ; 7 110   ; 2 869   ;
3;12 янв; 10 119   ; 7 103   ; 2 873   ;
3;13 янв; 10 119   ; 7 103   ; 2 864   ;
3;14 янв; 10 119   ; 7 103   ; 2 848   ;
3;15 янв; 10 119   ; 7 103   ; 2 863   ;
3;16 янв; 10 119   ; 7 103   ; 2 848   ;
4;17 янв; 10 119   ; 7 103   ; 2 848   ;
4;18 янв; 10 119   ; 7 103   ; 2 944   ;
4;19 янв; 10 119   ; 7 103   ; 2 934   ;
4;20 янв; 10 125   ; 7 103   ; 2 896   ;
4;21 янв; 10 133   ; 7 103   ; 2 877   ;
4;22 янв; 10 133   ; 7 103   ; 2 947   ;
4;23 янв; 10 133   ; 7 103   ; 2 930   ;
5;24 янв; 10 133   ; 7 103   ; 2 930   ;
5;25 янв; 10 133   ; 7 103   ; 3 085   ;
5;26 янв; 10 391   ; 7 104   ; 3 090   ;
5;27 янв; 10 785   ; 7 104   ; 3 013   ;
5;28 янв; 10 933   ; 7 104   ; 2 992   ;
5;29 янв; 11 169   ; 7 130   ; 2 989   ;
5;30 янв; 11 044   ; 7 121   ; 2 976   ;
6;31 янв; 11 044   ; 7 105   ; 2 976   ;
14;1 апр; 11 957   ; 6 603   ; 2 712   ;
14;2 апр; 11 852   ; 6 677   ; 2 665   ;
14;3 апр; 11 805   ; 6 598   ; 2 640   ;
15;4 апр; 11 805   ; 6 598   ; 2 640   ;
15;5 апр; 12 041   ; 6 664   ; 2 795   ;
15;6 апр; 12 028   ; 6 609   ; 2 771   ;
15;7 апр; 12 123   ; 6 625   ; 2 815   ;
15;8 апр; 12 158   ; 6 634   ; 2 830   ;
15;9 апр; 12 167   ; 6 670   ; 2 819   ;
15;10 апр; 12 084   ; 6 619   ; 2 759   ;
16;11 апр; 12 084   ; 6 619   ; 2 759   ;
16;12 апр; 12 055   ; 6 644   ; 2 824   ;
16;13 апр; 12 023   ; 6 645   ; 2 846   ;
16;14 апр; 11 976   ; 6 556   ; 2 762   ;
16;15 апр; 11 789   ; 6 571   ; 2 768   ;
16;16 апр; 11 635   ; 6 418   ; 2 759   ;
16;17 апр; 11 500   ; 6 386   ; 2 747   ;
17;18 апр; 11 494   ; 6 386   ; 2 747   ;
17;19 апр; 11 540   ; 6 451   ; 2 829   ;
17;20 апр; 11 363   ; 6 233   ; 2 820   ;
17;21 апр; 11 025   ; 6 356   ; 2 824   ;
17;22 апр; 10 809   ; 6 361   ; 2 789   ;
17;23 апр; 10 519   ; 6 353   ; 2 770   ;
17;24 апр; 10 209   ; 6 337   ; 2 749   ;
18;25 апр; 10 209   ; 6 337   ; 2 749   ;
18;26 апр; 10 080   ; 6 367   ; 2 790   ;
18;27 апр; 9 871   ; 6 331   ; 2 787   ;
18;28 апр; 9 631   ; 6 316   ; 2 778   ;
18;29 апр; 9 172   ; 6 264   ; 2 783   ;
18;30 апр; 8 941   ; 6 251   ; 2 777   ;
;1 дек; 8 942   ; 7 579   ; 2 540   ;
;2 дек; 8 935   ; 7 545   ; 2 484   ;
;3 дек; 9 056   ; 7 502   ; 2 491   ;
;4 дек; 9 010   ; 7 371   ; 2 504   ;
;5 дек; 9 096   ; 7 347   ; 2 477   ;
;6 дек; 9 091   ; 7 335   ; 2 477   ;
;7 дек; 9 178   ; 7 375   ; 2 599   ;
;8 дек; 9 161   ; 7 628   ; 2 584   ;
;9 дек; 9 288   ; 7 722   ; 2 547   ;
;10 дек; 9 327   ; 7 655   ; 2 530   ;
;11 дек; 9 342   ; 7 680   ; 2 525   ;
;12 дек; 9 222   ; 7 636   ; 2 510   ;
;13 дек; 9 222   ; 7 614   ; 2 510   ;
;14 дек; 9 171   ; 7 636   ; 2 560   ;
;15 дек; 9 227   ; 7 661   ; 2 533   ;
;16 дек; 9 097   ; 7 903   ; 2 569   ;
;17 дек; 9 057   ; 7 912   ; 2 526   ;
;18 дек; 9 108   ; 7 637   ; 2 534   ;
;19 дек; 9 134   ; 7 503   ; 2 518   ;
;20 дек; 9 184   ; 7 487   ; 2 518   ;
;21 дек; 9 262   ; 7 673   ; 2 591   ;
;22 дек; 9 114   ; 7 711   ; 2 591   ;
;23 дек; 9 623   ; 7 746   ; 2 558   ;
;24 дек; 9 859   ; 7 794   ; 2 725   ;
;25 дек; 10 056   ; 7 772   ; 2 726   ;
;26 дек; 10 213   ; 7 567   ; 2 711   ;
;27 дек; 10 367   ; 7 559   ; 2 711   ;
;28 дек; 10 503   ; 7 584   ; 2 715   ;
;29 дек; 10 543   ; 7 385   ; 2 869   ;
;30 дек; 10 448   ; 7 359   ; 2 886   ;
;31 дек; 10 422   ; 7 279   ; 2 868   ;
;;;;;
